ts,open,high,low,close,volume
2026-07-20 09:15:00+05:30,14300.0,14300.0,14165.0,14231.0,5276
2026-07-20 09:16:00+05:30,14227.0,14249.0,14183.0,14238.0,3874
2026-07-20 09:17:00+05:30,14246.0,14273.0,14227.0,14250.0,2339
2026-07-20 09:18:00+05:30,14251.0,14289.0,14244.0,14265.0,2652
2026-07-20 09:19:00+05:30,14263.0,14265.0,14214.0,14237.0,2168
2026-07-20 09:20:00+05:30,14236.0,14266.0,14233.0,14245.0,1287
2026-07-20 09:21:00+05:30,14246.0,14265.0,14230.0,14265.0,2263
2026-07-20 09:22:00+05:30,14252.0,14267.0,14247.0,14266.0,989
2026-07-20 09:23:00+05:30,14267.0,14274.0,14260.0,14270.0,1210
2026-07-20 09:24:00+05:30,14270.0,14290.0,14265.0,14280.0,1908
2026-07-20 09:25:00+05:30,14275.0,14280.0,14261.0,14275.0,1075
2026-07-20 09:26:00+05:30,14271.0,14273.0,14244.0,14246.0,1320
2026-07-20 09:27:00+05:30,14246.0,14267.0,14244.0,14250.0,962
2026-07-20 09:28:00+05:30,14250.0,14258.0,14242.0,14245.0,546
2026-07-20 09:29:00+05:30,14245.0,14263.0,14230.0,14263.0,1662
2026-07-20 09:30:00+05:30,14263.0,14277.0,14251.0,14265.0,1371
2026-07-20 09:31:00+05:30,14267.0,14319.0,14244.0,14308.0,3213
2026-07-20 09:32:00+05:30,14308.0,14320.0,14271.0,14289.0,2204
2026-07-20 09:33:00+05:30,14287.0,14297.0,14280.0,14287.0,997
2026-07-20 09:34:00+05:30,14283.0,14294.0,14251.0,14290.0,993
2026-07-20 09:35:00+05:30,14290.0,14314.0,14290.0,14314.0,1286
2026-07-20 09:36:00+05:30,14315.0,14315.0,14297.0,14305.0,2481
2026-07-20 09:37:00+05:30,14305.0,14329.0,14305.0,14325.0,1225
2026-07-20 09:38:00+05:30,14325.0,14345.0,14320.0,14327.0,2956
2026-07-20 09:39:00+05:30,14323.0,14328.0,14295.0,14300.0,1375
2026-07-20 09:40:00+05:30,14298.0,14304.0,14290.0,14304.0,988
2026-07-20 09:41:00+05:30,14305.0,14321.0,14304.0,14311.0,901
2026-07-20 09:42:00+05:30,14310.0,14314.0,14305.0,14310.0,381
2026-07-20 09:43:00+05:30,14305.0,14315.0,14305.0,14311.0,551
2026-07-20 09:44:00+05:30,14314.0,14315.0,14290.0,14296.0,991
2026-07-20 09:45:00+05:30,14295.0,14317.0,14290.0,14315.0,438
2026-07-20 09:46:00+05:30,14317.0,14320.0,14297.0,14315.0,2495
2026-07-20 09:47:00+05:30,14315.0,14321.0,14310.0,14313.0,1066
2026-07-20 09:48:00+05:30,14313.0,14317.0,14302.0,14302.0,402
2026-07-20 09:49:00+05:30,14307.0,14325.0,14300.0,14325.0,381
2026-07-20 09:50:00+05:30,14325.0,14369.0,14325.0,14362.0,2941
2026-07-20 09:51:00+05:30,14357.0,14384.0,14341.0,14379.0,2529
2026-07-20 09:52:00+05:30,14374.0,14380.0,14370.0,14374.0,829
2026-07-20 09:53:00+05:30,14372.0,14376.0,14352.0,14356.0,1575
2026-07-20 09:54:00+05:30,14350.0,14357.0,14345.0,14345.0,696
2026-07-20 09:55:00+05:30,14345.0,14349.0,14325.0,14331.0,870
2026-07-20 09:56:00+05:30,14331.0,14336.0,14325.0,14336.0,565
2026-07-20 09:57:00+05:30,14336.0,14360.0,14334.0,14353.0,691
2026-07-20 09:58:00+05:30,14353.0,14375.0,14353.0,14363.0,1151
2026-07-20 09:59:00+05:30,14364.0,14376.0,14360.0,14360.0,599
2026-07-20 10:00:00+05:30,14361.0,14369.0,14352.0,14356.0,462
2026-07-20 10:01:00+05:30,14351.0,14359.0,14344.0,14349.0,557
2026-07-20 10:02:00+05:30,14349.0,14358.0,14344.0,14344.0,202
