ts,open,high,low,close,volume
2026-07-15 09:15:00+05:30,811.0,812.7,809.7,812.2,521098
2026-07-15 09:16:00+05:30,812.2,812.95,811.3,811.6,185250
2026-07-15 09:17:00+05:30,811.7,813.5,811.6,813.35,105021
2026-07-15 09:18:00+05:30,813.15,813.65,813.1,813.45,71934
2026-07-15 09:19:00+05:30,813.45,814.0,813.4,813.9,43528
2026-07-15 09:20:00+05:30,813.9,815.0,813.9,814.8,67164
2026-07-15 09:21:00+05:30,814.9,815.5,814.8,815.2,72431
2026-07-15 09:22:00+05:30,815.2,815.5,814.6,814.9,89325
2026-07-15 09:23:00+05:30,814.9,815.0,814.5,815.0,52430
2026-07-15 09:24:00+05:30,815.0,815.7,814.9,815.5,61288
2026-07-15 09:25:00+05:30,815.4,815.95,815.4,815.75,34473
2026-07-15 09:26:00+05:30,815.85,816.65,815.65,815.65,97047
2026-07-15 09:27:00+05:30,815.9,816.2,815.45,815.95,36785
2026-07-15 09:28:00+05:30,815.95,816.3,815.5,815.5,50647
2026-07-15 09:29:00+05:30,815.5,815.7,815.0,815.45,79588
2026-07-15 09:30:00+05:30,815.45,816.0,815.15,815.85,32878
2026-07-15 09:31:00+05:30,815.9,816.4,815.75,816.05,33481
2026-07-15 09:32:00+05:30,816.1,816.35,816.0,816.2,26666
2026-07-15 09:33:00+05:30,816.1,816.3,816.1,816.25,30045
2026-07-15 09:34:00+05:30,816.25,816.3,815.9,816.0,60177
2026-07-15 09:35:00+05:30,816.05,816.05,815.4,815.4,71120
2026-07-15 09:36:00+05:30,815.5,815.75,815.4,815.7,29474
2026-07-15 09:37:00+05:30,815.6,815.7,815.55,815.65,24503
2026-07-15 09:38:00+05:30,815.6,815.75,815.5,815.7,25666
2026-07-15 09:39:00+05:30,815.7,815.8,815.1,815.35,55399
2026-07-15 09:40:00+05:30,815.35,816.1,815.35,815.85,35997
2026-07-15 09:41:00+05:30,816.1,816.25,815.8,815.85,43302
2026-07-15 09:42:00+05:30,816.0,816.1,815.7,815.85,31190
2026-07-15 09:43:00+05:30,815.8,815.85,815.15,815.65,25835
2026-07-15 09:44:00+05:30,815.55,815.7,815.4,815.6,19357
2026-07-15 09:45:00+05:30,815.6,816.0,815.5,815.8,14746
2026-07-15 09:46:00+05:30,816.0,816.0,815.75,815.9,24317
