ts,open,high,low,close,volume
2026-07-16 09:15:00+05:30,814.5,818.0,813.45,814.55,498608
2026-07-16 09:16:00+05:30,814.45,814.8,813.7,814.05,76518
2026-07-16 09:17:00+05:30,814.05,815.5,813.85,814.7,101286
2026-07-16 09:18:00+05:30,814.95,815.5,814.2,815.0,89825
2026-07-16 09:19:00+05:30,814.95,815.15,814.5,814.5,39282
2026-07-16 09:20:00+05:30,814.6,815.15,814.5,815.0,41870
2026-07-16 09:21:00+05:30,815.0,815.0,813.55,813.95,93302
2026-07-16 09:22:00+05:30,813.95,814.7,813.5,814.2,54703
2026-07-16 09:23:00+05:30,814.3,814.85,813.8,814.25,72538
2026-07-16 09:24:00+05:30,814.25,814.6,813.8,814.15,39423
2026-07-16 09:25:00+05:30,814.4,814.7,813.8,813.95,23939
2026-07-16 09:26:00+05:30,814.05,814.2,813.5,813.7,55910
2026-07-16 09:27:00+05:30,813.75,814.4,813.7,813.85,22954
2026-07-16 09:28:00+05:30,813.85,814.05,813.6,813.65,44486
2026-07-16 09:29:00+05:30,813.7,814.35,813.55,814.0,33203
2026-07-16 09:30:00+05:30,814.0,814.7,813.8,814.1,49574
2026-07-16 09:31:00+05:30,814.2,814.2,813.5,813.8,56875
2026-07-16 09:32:00+05:30,813.8,814.05,813.55,813.6,28234
2026-07-16 09:33:00+05:30,813.6,813.85,813.5,813.8,25092
2026-07-16 09:34:00+05:30,813.8,813.85,813.0,813.0,40191
2026-07-16 09:35:00+05:30,813.1,813.2,812.65,812.75,50607
2026-07-16 09:36:00+05:30,812.9,813.2,812.15,812.65,85903
2026-07-16 09:37:00+05:30,812.55,813.3,812.55,812.8,30100
2026-07-16 09:38:00+05:30,812.8,812.8,812.1,812.4,25389
2026-07-16 09:39:00+05:30,812.3,812.65,812.2,812.3,38227
2026-07-16 09:40:00+05:30,812.35,812.9,812.1,812.55,23933
2026-07-16 09:41:00+05:30,812.65,813.05,812.25,812.75,29994
2026-07-16 09:42:00+05:30,812.75,813.3,812.5,813.1,15479
2026-07-16 09:43:00+05:30,813.05,813.4,812.65,813.1,51734
2026-07-16 09:44:00+05:30,813.15,813.5,812.9,813.5,43374
2026-07-16 09:45:00+05:30,813.45,813.95,813.15,813.35,75403
