ts,open,high,low,close,volume
2026-07-17 09:15:00+05:30,324.0,324.0,320.2,322.0,36987
2026-07-17 09:16:00+05:30,322.0,322.45,321.25,322.05,40816
2026-07-17 09:17:00+05:30,322.05,322.25,321.45,321.85,20570
2026-07-17 09:18:00+05:30,321.55,321.95,321.45,321.75,14150
2026-07-17 09:19:00+05:30,321.75,322.15,321.5,321.75,10796
2026-07-17 09:20:00+05:30,321.95,322.35,321.55,322.05,7708
2026-07-17 09:21:00+05:30,322.3,322.9,322.0,322.65,12400
2026-07-17 09:22:00+05:30,322.65,323.35,322.6,323.25,13977
2026-07-17 09:23:00+05:30,323.15,323.2,322.4,322.65,7756
2026-07-17 09:24:00+05:30,322.5,322.5,322.1,322.2,9705
2026-07-17 09:25:00+05:30,322.2,322.5,322.0,322.0,2790
2026-07-17 09:26:00+05:30,322.1,322.3,322.05,322.05,729
2026-07-17 09:27:00+05:30,322.2,322.2,322.0,322.05,2085
2026-07-17 09:28:00+05:30,322.0,322.05,321.3,321.7,64915
2026-07-17 09:29:00+05:30,321.65,322.0,321.65,322.0,2063
2026-07-17 09:30:00+05:30,321.9,322.25,321.8,322.25,3430
2026-07-17 09:31:00+05:30,322.05,322.75,321.95,322.2,15949
2026-07-17 09:32:00+05:30,322.2,322.25,322.05,322.25,4287
2026-07-17 09:33:00+05:30,322.25,322.4,322.05,322.2,3340
2026-07-17 09:34:00+05:30,322.2,322.4,322.1,322.15,2890
2026-07-17 09:35:00+05:30,322.1,322.15,321.5,321.7,12611
2026-07-17 09:36:00+05:30,321.8,322.0,321.6,321.8,13919
2026-07-17 09:37:00+05:30,321.7,322.1,321.65,322.0,6289
2026-07-17 09:38:00+05:30,322.0,322.1,321.85,321.9,3350
2026-07-17 09:39:00+05:30,321.95,322.0,321.6,321.7,4380
2026-07-17 09:40:00+05:30,321.7,321.95,321.65,321.95,1421
2026-07-17 09:41:00+05:30,321.9,321.95,321.85,321.85,2531
2026-07-17 09:42:00+05:30,321.8,321.8,321.1,321.1,14499
2026-07-17 09:43:00+05:30,321.15,321.3,320.6,320.8,15188
2026-07-17 09:44:00+05:30,320.8,320.8,320.2,320.5,33097
2026-07-17 09:45:00+05:30,320.45,320.8,320.35,320.55,2551
2026-07-17 09:46:00+05:30,320.7,320.95,320.55,320.75,1462
2026-07-17 09:47:00+05:30,320.85,320.95,320.5,320.9,5521
2026-07-17 09:48:00+05:30,320.6,321.45,320.6,321.3,6102
2026-07-17 09:49:00+05:30,321.3,321.5,321.05,321.15,8929
2026-07-17 09:50:00+05:30,321.2,321.2,320.8,320.85,3431
2026-07-17 09:51:00+05:30,320.85,321.1,320.75,320.8,1380
2026-07-17 09:52:00+05:30,320.85,320.9,320.55,320.55,3856
2026-07-17 09:53:00+05:30,320.55,320.7,320.5,320.6,1223
2026-07-17 09:54:00+05:30,320.6,320.85,320.6,320.85,650
2026-07-17 09:55:00+05:30,320.85,320.85,319.75,319.8,7976
2026-07-17 09:56:00+05:30,319.8,320.0,319.6,319.7,28474
2026-07-17 09:57:00+05:30,319.7,319.7,319.5,319.55,5162
2026-07-17 09:58:00+05:30,319.6,319.75,319.2,319.2,10489
2026-07-17 09:59:00+05:30,319.3,319.35,319.1,319.3,4346
2026-07-17 10:00:00+05:30,319.3,319.45,319.2,319.25,2346
2026-07-17 10:01:00+05:30,319.2,319.4,318.75,319.0,8263
2026-07-17 10:02:00+05:30,319.0,319.3,318.85,318.85,5106
2026-07-17 10:03:00+05:30,318.85,319.8,318.85,319.5,3620
2026-07-17 10:04:00+05:30,319.6,319.7,319.4,319.6,4597
2026-07-17 10:05:00+05:30,319.9,319.95,319.6,319.7,7966
2026-07-17 10:06:00+05:30,319.7,320.0,319.6,319.9,1034
2026-07-17 10:07:00+05:30,319.9,320.0,319.9,319.9,1021
