ts,open,high,low,close,volume
2026-07-20 09:15:00+05:30,790.0,790.0,780.0,786.0,1591487
2026-07-20 09:16:00+05:30,786.0,786.2,781.2,782.85,997748
2026-07-20 09:17:00+05:30,782.65,783.05,780.25,782.0,767097
2026-07-20 09:18:00+05:30,782.0,783.7,781.5,783.5,405968
2026-07-20 09:19:00+05:30,783.4,783.5,782.6,782.75,427284
2026-07-20 09:20:00+05:30,782.65,782.65,781.25,781.55,480529
2026-07-20 09:21:00+05:30,781.75,782.0,780.55,781.0,424265
2026-07-20 09:22:00+05:30,781.0,782.0,780.0,782.0,501179
2026-07-20 09:23:00+05:30,781.85,782.1,780.7,782.0,447497
2026-07-20 09:24:00+05:30,782.05,783.7,781.9,782.55,353919
2026-07-20 09:25:00+05:30,782.5,782.85,780.55,781.0,461936
2026-07-20 09:26:00+05:30,781.0,781.25,780.15,781.2,268199
2026-07-20 09:27:00+05:30,781.15,781.25,780.3,780.65,308818
2026-07-20 09:28:00+05:30,780.65,780.9,777.55,778.4,998871
2026-07-20 09:29:00+05:30,778.4,779.0,777.5,778.8,304811
2026-07-20 09:30:00+05:30,778.65,778.8,777.5,778.7,406718
2026-07-20 09:31:00+05:30,778.5,779.8,778.45,779.5,243377
2026-07-20 09:32:00+05:30,779.5,779.9,778.7,779.0,227839
2026-07-20 09:33:00+05:30,779.25,779.45,778.5,779.3,218846
2026-07-20 09:34:00+05:30,779.2,780.2,779.0,780.15,305454
2026-07-20 09:35:00+05:30,780.15,781.45,780.0,781.15,250728
2026-07-20 09:36:00+05:30,781.05,781.65,781.0,781.65,212060
2026-07-20 09:37:00+05:30,781.65,781.65,781.0,781.4,206095
2026-07-20 09:38:00+05:30,781.4,781.4,780.1,780.25,288103
2026-07-20 09:39:00+05:30,780.4,780.75,779.65,780.15,313787
2026-07-20 09:40:00+05:30,780.15,780.95,779.35,780.35,387466
2026-07-20 09:41:00+05:30,780.55,780.8,779.95,780.55,321293
2026-07-20 09:42:00+05:30,780.75,782.5,780.25,782.45,248298
2026-07-20 09:43:00+05:30,782.45,782.95,781.75,782.8,346939
2026-07-20 09:44:00+05:30,782.8,782.95,782.0,782.0,178862
2026-07-20 09:45:00+05:30,782.1,782.35,781.1,781.5,152615
2026-07-20 09:46:00+05:30,781.35,782.15,781.35,782.1,150637
2026-07-20 09:47:00+05:30,781.9,782.65,781.75,782.05,164989
2026-07-20 09:48:00+05:30,782.05,782.7,781.8,782.5,113323
2026-07-20 09:49:00+05:30,782.5,783.3,782.45,782.75,244297
2026-07-20 09:50:00+05:30,782.6,783.2,782.5,783.0,92449
2026-07-20 09:51:00+05:30,783.05,783.1,782.3,782.3,155495
2026-07-20 09:52:00+05:30,782.35,782.95,782.1,782.6,106921
2026-07-20 09:53:00+05:30,782.6,783.05,782.0,782.3,178038
2026-07-20 09:54:00+05:30,782.6,782.95,782.3,782.95,620400
2026-07-20 09:55:00+05:30,782.95,783.0,782.4,782.85,156174
2026-07-20 09:56:00+05:30,782.85,782.85,782.15,782.6,140042
2026-07-20 09:57:00+05:30,782.55,783.0,782.0,782.2,164336
2026-07-20 09:58:00+05:30,782.3,782.65,781.7,782.15,165653
2026-07-20 09:59:00+05:30,782.2,782.3,781.1,781.55,277221
2026-07-20 10:00:00+05:30,781.55,781.65,780.7,781.25,199850
2026-07-20 10:01:00+05:30,781.05,781.35,780.75,781.0,139055
2026-07-20 10:02:00+05:30,781.0,782.0,780.8,781.9,115965
2026-07-20 10:03:00+05:30,782.0,783.0,781.7,782.85,157425
2026-07-20 10:04:00+05:30,782.85,783.0,782.2,782.6,126245
2026-07-20 10:05:00+05:30,782.85,783.35,782.5,783.3,156716
2026-07-20 10:06:00+05:30,783.3,784.0,783.1,783.3,199196
2026-07-20 10:07:00+05:30,783.25,783.5,782.95,783.25,136220
2026-07-20 10:08:00+05:30,783.4,783.45,782.1,782.1,179603
2026-07-20 10:09:00+05:30,782.3,782.9,782.0,782.75,124758
2026-07-20 10:10:00+05:30,782.75,783.75,782.55,783.75,128885
2026-07-20 10:11:00+05:30,783.7,784.45,783.5,784.35,222940
2026-07-20 10:12:00+05:30,784.35,784.5,784.05,784.3,146497
2026-07-20 10:13:00+05:30,784.35,784.5,783.5,783.6,433324
2026-07-20 10:14:00+05:30,783.9,784.0,783.05,783.5,147560
2026-07-20 10:15:00+05:30,783.45,784.2,783.0,784.1,265766
2026-07-20 10:16:00+05:30,784.05,784.5,783.6,784.5,132154
2026-07-20 10:17:00+05:30,784.45,785.0,784.3,784.95,248138
2026-07-20 10:18:00+05:30,784.95,785.6,784.65,785.5,512608
2026-07-20 10:19:00+05:30,785.5,785.55,784.95,785.15,246652
2026-07-20 10:20:00+05:30,785.15,785.25,784.0,784.1,208693
2026-07-20 10:21:00+05:30,784.1,784.75,783.75,784.7,95765
2026-07-20 10:22:00+05:30,784.7,785.2,784.35,784.5,120200
2026-07-20 10:23:00+05:30,784.5,785.0,784.3,784.5,89544
2026-07-20 10:24:00+05:30,784.5,784.7,784.25,784.6,57967
2026-07-20 10:25:00+05:30,784.6,785.0,784.3,784.9,91801
2026-07-20 10:26:00+05:30,784.9,785.0,784.4,785.0,83190
2026-07-20 10:27:00+05:30,784.95,785.0,784.6,784.8,82466
2026-07-20 10:28:00+05:30,784.8,785.0,784.7,784.85,97707
2026-07-20 10:29:00+05:30,784.75,784.85,784.15,784.5,108357
2026-07-20 10:30:00+05:30,784.45,784.8,784.3,784.7,69982
2026-07-20 10:31:00+05:30,784.7,784.8,784.05,784.45,85833
2026-07-20 10:32:00+05:30,784.45,784.65,784.05,784.4,104599
2026-07-20 10:33:00+05:30,784.4,784.4,784.0,784.35,81716
2026-07-20 10:34:00+05:30,784.35,784.55,784.05,784.35,86010
2026-07-20 10:35:00+05:30,784.35,784.5,783.5,783.8,215067
2026-07-20 10:36:00+05:30,783.8,784.45,783.5,784.2,115189
2026-07-20 10:37:00+05:30,784.2,784.35,783.5,783.6,204973
2026-07-20 10:38:00+05:30,783.55,784.0,783.3,783.65,126077
