ts,open,high,low,close,volume
2026-07-17 09:15:00+05:30,810.0,811.5,808.5,810.05,235095
2026-07-17 09:16:00+05:30,810.1,810.6,809.75,810.5,102450
2026-07-17 09:17:00+05:30,810.55,811.8,810.55,811.35,127326
2026-07-17 09:18:00+05:30,811.3,813.0,811.1,812.8,108835
2026-07-17 09:19:00+05:30,812.7,813.45,812.4,812.8,103823
2026-07-17 09:20:00+05:30,812.85,813.85,812.2,812.5,99808
2026-07-17 09:21:00+05:30,812.6,813.3,812.15,813.05,67068
2026-07-17 09:22:00+05:30,813.15,813.5,812.5,812.75,41058
2026-07-17 09:23:00+05:30,812.8,813.0,812.5,812.6,41267
2026-07-17 09:24:00+05:30,812.65,813.8,812.3,813.7,73743
2026-07-17 09:25:00+05:30,813.7,813.8,813.1,813.55,46136
2026-07-17 09:26:00+05:30,813.6,814.05,813.1,813.2,56572
2026-07-17 09:27:00+05:30,813.2,813.2,812.05,812.7,37044
2026-07-17 09:28:00+05:30,812.7,812.8,812.3,812.35,21369
2026-07-17 09:29:00+05:30,812.4,813.5,812.15,813.2,38878
2026-07-17 09:30:00+05:30,813.3,813.35,812.25,812.3,37293
2026-07-17 09:31:00+05:30,812.3,812.45,811.5,811.8,64363
2026-07-17 09:32:00+05:30,811.9,813.3,811.85,813.3,43319
2026-07-17 09:33:00+05:30,813.3,814.0,813.2,813.9,52524
2026-07-17 09:34:00+05:30,813.9,814.25,813.35,813.55,100574
2026-07-17 09:35:00+05:30,813.55,813.8,813.5,813.8,20033
2026-07-17 09:36:00+05:30,813.8,814.1,813.7,814.05,31059
2026-07-17 09:37:00+05:30,814.05,814.2,813.8,814.0,40809
2026-07-17 09:38:00+05:30,814.0,814.25,813.85,814.05,38181
2026-07-17 09:39:00+05:30,814.05,814.65,814.05,814.6,47425
2026-07-17 09:40:00+05:30,814.6,814.75,814.2,814.5,23859
2026-07-17 09:41:00+05:30,814.5,815.3,813.95,815.1,110482
2026-07-17 09:42:00+05:30,815.1,815.1,814.3,814.4,116319
2026-07-17 09:43:00+05:30,814.4,815.0,814.1,814.85,41265
2026-07-17 09:44:00+05:30,814.85,815.2,814.5,815.1,34269
2026-07-17 09:45:00+05:30,815.1,816.0,815.0,815.4,50516
2026-07-17 09:46:00+05:30,815.4,816.9,815.25,816.7,91557
2026-07-17 09:47:00+05:30,816.8,816.95,816.35,816.45,46181
2026-07-17 09:48:00+05:30,816.5,816.6,816.2,816.5,30310
2026-07-17 09:49:00+05:30,816.6,816.75,816.0,816.0,59278
2026-07-17 09:50:00+05:30,815.9,816.0,815.6,816.0,24394
2026-07-17 09:51:00+05:30,816.0,816.0,815.25,815.25,28413
2026-07-17 09:52:00+05:30,815.5,815.85,815.2,815.7,35238
2026-07-17 09:53:00+05:30,815.7,816.7,815.4,816.7,55632
2026-07-17 09:54:00+05:30,816.7,816.7,816.3,816.55,24126
2026-07-17 09:55:00+05:30,816.55,816.55,815.4,815.6,41276
2026-07-17 09:56:00+05:30,815.65,815.7,815.0,815.4,44936
2026-07-17 09:57:00+05:30,815.45,815.6,815.1,815.3,15929
2026-07-17 09:58:00+05:30,815.3,816.6,815.25,816.5,70685
2026-07-17 09:59:00+05:30,816.5,816.5,815.65,816.3,42047
2026-07-17 10:00:00+05:30,816.35,816.75,815.85,816.1,52579
2026-07-17 10:01:00+05:30,816.15,816.5,815.7,815.95,28939
2026-07-17 10:02:00+05:30,815.95,816.1,815.65,815.75,24598
2026-07-17 10:03:00+05:30,815.8,816.2,815.75,816.0,46554
2026-07-17 10:04:00+05:30,816.0,816.0,815.35,815.8,15219
2026-07-17 10:05:00+05:30,815.85,816.3,815.65,816.3,32249
2026-07-17 10:06:00+05:30,816.3,816.6,816.05,816.45,49292
2026-07-17 10:07:00+05:30,816.5,816.6,816.05,816.6,24346
2026-07-17 10:08:00+05:30,816.6,816.6,816.0,816.35,29937
2026-07-17 10:09:00+05:30,816.4,816.4,815.9,816.1,23862
2026-07-17 10:10:00+05:30,816.1,816.15,815.55,816.1,36671
2026-07-17 10:11:00+05:30,816.1,816.45,815.75,816.45,97908
2026-07-17 10:12:00+05:30,816.4,817.0,816.35,816.7,83483
2026-07-17 10:13:00+05:30,816.7,817.5,816.6,817.45,48284
2026-07-17 10:14:00+05:30,817.5,817.8,817.15,817.15,63120
2026-07-17 10:15:00+05:30,817.2,817.8,817.15,817.7,26277
2026-07-17 10:16:00+05:30,817.7,818.2,817.65,817.85,129205
2026-07-17 10:17:00+05:30,817.85,818.0,817.1,817.45,53628
2026-07-17 10:18:00+05:30,817.45,818.0,817.2,817.9,31898
